feature_key	qualifier	qualifier_value	SO_term	SO_synonym	
3'UTR			three_prime_UTR	INSDC_feature:3'UTR (exact)	
5'UTR			five_prime_UTR	INSDC_feature:5'UTR (exact)	
assembly_gap			gap	INSDC_feature:assembly_gap (narrow)	
C_region			C_gene_segment	INSDC_feature:C_region (exact)	
CDS			CDS	INSDC_feature:CDS (exact)	
CDS	/pseudo		pseudogenic_CDS	INSDC_feature:CDS (broad), INSDC_qualifier:pseudo (exact)	
centromere			centromere	INSDC_feature:centromere (exact)	
D_segment			D_gene_segment	INSDC_feature:D_segment (exact)	
D-loop			D_loop	INSDC_feature:D-loop (exact)	
exon			exon	INSDC_feature:exon (exact)	
gap			gap	INSDC_feature:gap (exact)	
gene			gene	INSDC_feature:gene (exact)	
gene	/pseudo		pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:pseudo (exact)	
gene 	/pseudogene	processed	processed_pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:processed (exact)	
gene 	/pseudogene	unprocessed	non_processed_pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:unprocessed (exact)	
gene 	/pseudogene	unitary	unitary_pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:unitary (exact)	
gene 	/pseudogene	allelic	allelic_pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:allelic (exact)	
gene 	/pseudogene	unknown	pseudogene	INSDC_feature:gene (broad), INSDC_qualifier:unknown (exact)	
iDNA			iDNA	INSDC_feature:iDNA (exact)	
intron			intron	INSDC_feature:intron (exact)	
J_segment			J_gene_segment	INSDC_feature:J_segment (exact)	
mat_peptide			mature_protein_region	INSDC_feature:mat_peptide (exact)	
misc_binding			binding_site	INSDC_feature:misc_binding (exact)	
misc_difference			sequence_difference	INSDC_feature:misc_difference (exact)	
misc_feature	/feat_class	conserved_region	conserved_region	INSDC_feature:misc_feature (broad), INSDC_note:conserved_region (exact)	
misc_feature	/feat_class	nucleotide_motif	nucleotide_motif	INSDC_feature:misc_feature (broad), INSDC_note:nucleotide_motif (exact)	
